,url,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,0,0.748,0.627,7.0,-6.029,1.0,0.0639,0.131,0.0,0.0852,0.524,120.963,188491.0,4.0
1,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,0,0.352,0.911,1.0,-5.23,1.0,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973.0,4.0
2,https://open.spotify.com/track/00B7TZ0Xawar6NZ00JFomN,0,0.62,0.625,9.0,-7.438,1.0,0.553,0.287,0.0,0.314,0.665,167.911,284856.0,4.0
3,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,0,0.687,0.781,1.0,-4.806,1.0,0.053,0.0361,0.0,0.0755,0.688,97.014,193507.0,4.0
4,https://open.spotify.com/track/00PesUdTmC3Y5xtZbZND0p,0,0.451,0.291,10.0,-11.764,0.0,0.036,0.812,0.0,0.0983,0.158,81.326,177947.0,4.0
5,https://open.spotify.com/track/00bWqt93aqLXqKtzZoq7Jw,0,0.878,0.407,7.0,-10.941,1.0,0.233,0.459,0.0,0.111,0.546,89.007,286517.0,4.0
6,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY,0,0.876,0.669,11.0,-6.054,0.0,0.138,0.163,0.0,0.185,0.682,124.007,213947.0,4.0
7,https://open.spotify.com/track/015jLlgBeSkl3CApWJhlv7,0,0.866,0.51,10.0,-6.254,1.0,0.256,0.0146,0.0,0.107,0.171,106.949,234640.0,4.0
8,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,0,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820.0,4.0
9,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,0,0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,258813.0,4.0
10,https://open.spotify.com/track/01LSU6meTykNfXu66aBTvZ,0,0.797,0.53,8.0,-3.802,1.0,0.0737,0.375,0.0048,0.0955,0.269,110.08,132286.0,3.0
11,https://open.spotify.com/track/01Qb6dN5suQNu87VJ1mIpf,0,0.699,0.575,1.0,-9.922,1.0,0.159,0.218,0.0,0.112,0.234,148.767,116240.0,4.0
12,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl,0,0.414,0.416,11.0,-8.024,0.0,0.0251,0.1,0.179,0.131,0.196,159.91,186268.0,4.0
13,https://open.spotify.com/track/01iiEi9h8CQGUN2K1xBbTj,0,0.409,0.792,10.0,-5.68,1.0,0.0415,0.0881,0.000576,0.103,0.195,95.072,279987.0,4.0
14,https://open.spotify.com/track/01k24g94i1JvkFLQmVEdCd,0,0.647,0.853,8.0,-4.516,1.0,0.0904,0.0615,0.0,0.062,0.618,103.846,189000.0,4.0
15,https://open.spotify.com/track/01uk7IzZyFNfQTDBXxx6NB,0,0.672,0.53,1.0,-6.43,1.0,0.0284,0.367,0.0,0.321,0.485,103.326,192922.0,3.0
16,https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y,0,0.734,0.607,8.0,-7.249,0.0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,258853.0,4.0
17,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR,0,0.272,0.238,2.0,-12.148,0.0,0.0349,0.89,0.00925,0.275,0.119,83.507,161840.0,4.0
18,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,0,0.599,0.642,0.0,-6.936,1.0,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533.0,4.0
19,https://open.spotify.com/track/026pfPaB52WIGawu0PzN5j,0,0.641,0.314,2.0,-11.56,1.0,0.0375,0.425,0.41,0.116,0.123,95.969,218467.0,4.0
20,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
21,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,0,0.883,0.599,11.0,-5.551,1.0,0.248,0.0177,0.0,0.179,0.413,142.976,183011.0,4.0
22,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,0,0.799,0.66,1.0,-6.153,0.0,0.079,0.256,0.0,0.111,0.471,140.04,195429.0,4.0
23,https://open.spotify.com/track/02rdXe0KhMe8p6ZHzYtuw0,0,0.649,0.347,1.0,-7.67,0.0,0.404,0.485,3.24e-05,0.154,0.176,169.994,269728.0,4.0
24,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07,0,0.557,0.457,7.0,-5.372,1.0,0.0335,0.428,0.0,0.0567,0.328,105.918,177500.0,4.0
25,https://open.spotify.com/track/03BNPuzC2y91UJmxUeRiBf,0,0.564,0.623,10.0,-3.906,1.0,0.103,0.926,1.38e-05,0.076,0.669,177.928,65411.0,4.0
26,https://open.spotify.com/track/03EcqaAMg58r10dgbl0o6y,0,0.906,0.597,0.0,-2.566,1.0,0.0764,0.165,2.94e-06,0.0775,0.967,124.008,180500.0,4.0
27,https://open.spotify.com/track/03MQ8XJZyvetyCMfTPV39m,0,0.612,0.856,9.0,-3.273,1.0,0.0479,0.116,3.35e-05,0.647,0.681,112.94,213880.0,4.0
28,https://open.spotify.com/track/03YoRDLmG333y0ORu2D5A4,0,0.462,0.957,10.0,-3.304,1.0,0.131,0.00129,0.00203,0.314,0.498,165.112,223067.0,4.0
29,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0,0,0.653,0.869,5.0,-3.725,1.0,0.0382,0.128,2.2e-05,0.046,0.697,122.017,197347.0,4.0
30,https://open.spotify.com/track/042Sl6Mn83JHyLEqdK7uI0,0,0.632,0.284,9.0,-14.025,0.0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897.0,4.0
31,https://open.spotify.com/track/042nVrQvpEVrsrW6yeeHB2,0,0.822,0.622,8.0,-7.33,1.0,0.314,0.0347,0.0181,0.114,0.18,160.066,150000.0,4.0
32,https://open.spotify.com/track/044qU7kwVZaDwzWnRsmVVL,0,0.752,0.543,1.0,-9.483,1.0,0.0398,0.623,0.0706,0.107,0.282,126.001,233280.0,4.0
33,https://open.spotify.com/track/04CyO54TZk5tEylFg2Df41,0,0.382,0.675,0.0,-6.56,1.0,0.0441,0.0128,0.000246,0.219,0.449,106.171,234867.0,1.0
34,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0,0.49,0.485,4.0,-6.237,0.0,0.0406,0.0592,0.0,0.337,0.196,133.889,195840.0,4.0
35,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,0,0.765,0.704,5.0,-4.589,0.0,0.127,0.0215,0.0,0.227,0.498,147.055,192172.0,4.0
36,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5,0,0.535,0.618,8.0,-3.913,1.0,0.0273,0.0716,0.000388,0.169,0.228,81.975,352200.0,4.0
